"Customer Name","Customer Code","Address 1","Address 2","City","State","Zip","Ad Source","Phone","Target","Ad Cost","Cost Base","Start Date","End Date"
"Aaa Fort Storage","3583429","null",,"null","AL","null","Listing","(520) 226-0099 ","(520) 458-5770 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"Advanced Moving and Storage","25601-0","null",,"null","FL","null","Online Listing","(850) 353-4133 ","(850) 656-2890 ",$0.00,"n/a",04/29/11,"04/28/2017
"
"All About Storage","25573-0","null",,"null","CA","null","Online Listing","(951) 225-4544 ","(951) 676-0595 ",$0.00,"n/a",04/06/11,"04/05/2017
"
"Allen Avenue Self Storage","25538-25","null",,"null","CA",91106,"Online Listing","(626) 594-4081 ","(626) 585-9988 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"American International Self Storage","3399756","null",,"null","AL","null","Online Listing","(888) 409-6091 ","(305) 949-4556 ",$0.00,"n/a",08/03/10,"08/02/2016
"
"American International Self Storage","3597736","null",,"null","AL","null","Listing","(888) 903-9655 ","(305) 949-4556 ",$0.00,"n/a",03/28/11,"03/27/2017
"
"American Stor All Storage","25613-1","420 NW Peacock Boulevard",,"Port St. Lucie","FL",34986,"Online Listing","(772) 232-8791 ","(772) 409-8209 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"American Stor All Storage","25613-2","459 NW Market Place",,"null","FL","null","Online Listing","(772) 232-8789 ","(772) 318-4902 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"American Stor All Storage","25613-4","12560 South Tamiami Trail",,"null","FL","null","Online Listing","(941) 234-4583 ","(941) 257-4551 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"American Stor All Storage","25613-5","2650 North Powers Drive",,"null","FL",32818,"Online Listing","(321) 594-6038 ","(321) 248-4370 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"American Stor All Storage","25613-6","11583 University Blvd.",,"null","FL",32818,"Online Listing","(321) 594-6782 ","(321) 248-6914 ",$0.00,"n/a",05/19/11,05/18/17
"American Stor All Storage","25613-6","11583 University Blvd.",,"null","FL",32818,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/19/11,"05/18/2017
"
"Arrow Space Llc","3583428","null",,"null","AL","null","Listing","(315) 352-4595 ","(315) 635-9990 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"Assured Self Storage","25314","null",,"null","AL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Assured Self Storage","25314-2","null",,"null","TX",75228,"Online Listing","(214) 483-1087 ","(214) 623-9333 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage","25314-17","null",,"null","TX",75137,"Online Listing","(972) 200-1650 ","(972) 708-9930 ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-18","null",,"null","TX","null","Online Listing","(817) 918-4680 ","(817) 451-8808 ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-19","null",,"null","TX","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-20","null",,"null","TX","null","Online Listing","(866) 906-3694 ","(972) 255-6565 ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-21","null",,"null","TX","null","Online Listing","(972) 483-0082 ","(972) 422-0606 ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-22","null",,"null","TX","null","Online Listing","(512) 371-6169 ","(512) 310-2220 ",$0.00,"n/a",05/17/11,"05/16/2017
"
"Assured Self Storage","25314-0","null",,"null","AL","null","no active campaigns found","none defined ","none defined ","n/a","n/a","n/a","n/a
"
"Assured Self Storage - Plano","25314-1","4200 K Ave",,"null","AL",75074,"Online Listing","(972) 200-3108 ","(972) 943-9888 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage - Plano","25314-12","null",,"null","TX","null","Online Listing","(972) 200-1056 ","(972) 423-4295 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage - Plano","25314-14","null",,"null","TX","null","Online Listing","(972) 200-1648 ","(972) 424-0707 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Arlington","25314-8","null",,"null","TX","null","Online Listing","(817) 405-0273 ","(817) 633-1133 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Arlington","25314-9","null",,"null","TX","null","Online Listing","(817) 405-0269 ","(817) 640-9822 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Coppell","25314-11","null",,"null","TX","null","Online Listing","(972) 200-3109 ","(972) 462-1500 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-4","null",,"null","TX",75249,"Online Listing","(972) 200-3106 ","(972) 298-7300 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-5","null",,"null","TX","null","Online Listing","(214) 483-1372 ","(214) 339-0961 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-6","null",,"null","TX","null","Online Listing","(972) 200-1069 ","(972) 224-3311 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-7","null",,"null","TX","null","Online Listing","(214) 731-7086 ","(214) 331-0300 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-13","null",,"null","TX","null","Online Listing","(214) 731-7104 ","(214) 824-9700 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Dallas","25314-16","null",,"null","TX","null","Online Listing","(972) 200-1647 ","(972) 296-5100 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Desoto","25314-3","null",,"null","TX","null","Online Listing","(972) 200-3162 ","(972) 223-1399 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Glenn Heights","25314-10","null",,"null","TX","null","Online Listing","(972) 200-1935 ","(972) 230-2569 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Assured Self Storage-Mesuite","25314-15","null",,"null","TX","null","Online Listing","(972) 200-1744 ","(972) 613-1960 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Bach Self Storage","25493-0","null",,"null","UT",84414,"Online Listing","(801) 528-9528 ","(801) 737-4435 ",$0.00,"n/a",04/08/11,"04/07/2017
"
"Bryson Self Storage","25425-1","null",,"null","GA","null","Online Listing","(478) 238-1589 ","(478) 922-5815 ",$0.00,"n/a",04/26/11,"04/25/2017
"
"Budget Self Storage","25394-21","null",,"null","MI","null","Online Listing","(517) 507-3726 ","(517) 827-5202 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Carrie's Storage","3599452","null",,"null","AL","null","no active campaigns found","none defined ","none defined ","n/a","n/a","n/a","n/a
"
"Center Line Self Storage","25394-33","null",,"null","MI","null","Online Listing","(586) 486-3768 ","(586) 467-5112 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Eagle - Bow","25538-2","555 Route 3A",,"Bow","NH",3304,"Online Listing","(888) 698-8620 ","(603) 230-9600 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Eagle - Dover 1","25538-3","null",,"null","NH",3820,"Online Listing","(888) 345-2920 ","(603) 750-7500 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Eagle - Dover 2","25538-1","30 Sumner Road",,"Dover","NH",3820,"Online Listing","(888) 771-8166 ","(603) 750-7500 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Eagle - Wakefield","25538-4","1683 White Mountain Highway",,"Wakefield","NH",3872,"Online Listing","(888) 718-8018 ","(603) 522-5100 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Eagle Self Storage","25538","null",,"null","NH","null","Online Listing","(603) 783-5053 ","(603) 230-9600 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Eau Gallie Self Storage","25555-0","null",,"null","FL","null","Online Listing","(321) 473-6051 ","(321) 242-1004 ",$0.00,"n/a",04/06/11,"04/05/2017
"
"Elizabeth Handwerker","3544570","null",,"null","AL","null","To be determined","none defined ","none defined ",$0.00,"n/a",01/18/11,"01/17/2017
"
"Empire Boat & RV Storage","25538-33","null",,"null","CA",95448,"Online Listing","(707) 723-4855 ","(707) 433-8900 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Empire Mini Storage","25538-29","null",,"null","CA","null","Online Listing","(415) 233-7029 ","(415) 883-3910 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Fort Mohave Storage","25538-14","null",,"null","AZ",86426,"Online Listing","(928) 788-0850 ","(928) 763-2800 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Freedom Storage - BHC","25538-20","null",,"null","AZ",86442,"Online Listing","(928) 788-0848 ","(928) 763-5722 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Freedom Storage - Dallas","25338-7","10331 Scyene Road",,"null","TX",75227,"Online Listing","(866) 600-9884 ","(972) 285-5855 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Freedom Storage - LV","25538-5","null",,"null","NV",89103,"Online Listing","(702) 529-2086 ","(702) 368-7500 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Freedom Storage - Mesa","25538-13","null",,"Mesa","AZ",85205,"Online Listing","(480) 619-6776 ","(480) 985-9898 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Frontage Self Storage","25538-28","null",,"null","CA",93444,"Online Listing","(805) 356-3069 ","(805) 929-8989 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Great American - Round Rock","25538-8","null",,"Round Rock","TX",78681,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/18/11,05/17/17
"Great American - Round Rock","25538-8","null",,"Round Rock","TX",78681,"Online Listing","(512) 364-0084 ","(512) 248-1518 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Great American - Wylie","25538-11","null",,"null","TX",75098,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Guardian Mobile Storage","25600-12","null",,"null","AL","null","Online Listing","(412) 253-2152 ","(412) 429-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage - South Hills","25600-5","null",,"null","AL","null","Online Listing","(412) 253-4478 ","(412) 429-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Century III","25600-8","null",,"null","AL","null","Online Listing","(412) 253-2163 ","(412) 653-7233 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Fox Chapel","25600-7","null",,"null","AL","null","Online Listing","(412) 253-6028 ","(412) 826-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Monreville","25600-3","null",,"null","AL","null","Online Listing","(412) 253-4479 ","(412) 380-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Monroe","25394-19","null",,"null","MI","null","Online Listing","(732) 812-4302 ","(732) 705-7772 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Guardian Self Storage-North Hills","25600-1","null",,"null","AL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/03/11,05/02/17
"Guardian Self Storage-North Hills","25600-1","null",,"null","AL","null","Online Listing","(412) 253-4203 ","(412) 369-7368 ",$0.00,"n/a",05/04/11,05/03/17
"Guardian Self Storage-North Hills","25600-1","null",,"null","AL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Oakland","25600-2","null",,"null","AL","null","Online Listing","(412) 253-6284 ","(412) 687-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Shadyside","25600-0","null",,"null","AL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/04/11,05/03/17
"Guardian Self Storage-Shadyside","25600-0","null",,"null","AL","null","Online Listing","(412) 307-4947 ","(412) 441-7368 ",$0.00,"n/a",05/03/11,"05/02/2017
"
"Guardian Self Storage-Strip District","25006-10","null",,"null","AL","null","Online Listing","(412) 253-2114 ","(412) 261-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Washington","25006-9","null",,"null","AL","null","Online Listing","(412) 253-4694 ","(412) 222-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Waterfront","25600-4","null",,"null","AL","null","Online Listing","(412) 253-2115 ","(412) 464-7233 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Guardian Self Storage-Westminister","25600-11","null",,"null","AL","null","Online Listing","(888) 499-7942 ","(303) 430-7368 ",$0.00,"n/a",05/04/11,"05/03/2017
"
"Hampshire Self Storage","25506-3","null",,"null","NJ","null","Online Listing","(856) 499-4454 ","(856) 437-5601 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-0","null",,"null","NJ","null","Online Listing","(973) 542-2607 ","(973) 928-0987 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-1","null",,"Central Valley","NY",10917,"Online Listing","(845) 477-5389 ","(845) 694-7807 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-2","null",,"null","NY","null","Online Listing","(845) 635-0496 ","(845) 224-3440 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-4","null",,"null","NJ","null","Online Listing","(201) 490-4337 ","(201) 289-5385 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-5","null",,"null","NJ","null","Online Listing","(973) 542-2016 ","(973) 679-7341 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-6","null",,"null","NJ","null","Online Listing","(908) 660-4097 ","(908) 219-6025 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-7","null",,"null","NJ","null","Online Listing","(862) 881-4334 ","(862) 207-4480 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-8","null",,"null","NJ","null","Online Listing","(908) 223-5188 ","(908) 645-0748 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-9","null",,"null","NJ","null","Online Listing","(973) 542-2029 ","(973) 447-4355 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage","25506-10","null",,"null","NJ","null","Online Listing","(201) 546-5490 ","(201) 537-4329 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hampshire Self Storage ","25506-11","null",,"null","NJ","null","Online Listing","(862) 881-4330 ","(862) 703-7348 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hayes Self Storage ","25394-22","null",,"null","MI","null","Online Listing","(586) 276-7265 ","(586) 580-1038 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Hesperia Self Storage","25573-2","null",,"null","CA","null","Online Listing","(877) 800-6112 ","(760) 244-1228 ",$0.00,"n/a",04/06/11,"04/05/2017
"
"Hide-Away Storage Superstore","25482-0","null",,"null","FL","null","Online Listing","(727) 231-4527 ","(727) 565-0363 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-2","3760 Cortez Road West",,"Bradenton","FL",34210,"Online Listing","(888) 679-0264 ","(941) 462-2320 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-3","null",,"null","FL","null","Online Listing","(239) 443-5640 ","(239) 603-7079 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-4","null",,"null","FL","null","Online Listing","(941) 531-9107 ","(941) 531-9263 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-5","null",,"null","FL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-6","null",,"Sarasota","FL",34238,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/09/11,05/08/17
"Hide-Away Storage Superstore","25482-6","null",,"Sarasota","FL",34238,"Online Listing","(941) 234-4378 ","(941) 882-1332 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-7","null",,"null","FL","null","Online Listing","(941) 531-9112 ","(941) 462-2316 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-8","null",,"null","FL","null","Online Listing","(941) 234-4395 ","(941) 306-4097 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-9","null",,"Naples","FL",34109,"Online Listing","(239) 438-4356 ","(239) 438-4128 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-10","null",,"null","FL",34205,"Online Listing","(941) 531-9095 ","(941) 462-2312 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Hide-Away Storage Superstore","25482-11","null",,"null","FL",34232,"Online Listing","(941) 234-0869 ","(941) 306-4145 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Linden Stop-N-Lock - Dayton","25394-24","null",,"null","MI","null","Online Listing","(937) 770-2063 ","(937) 684-9269 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Lively Storage, Inc.","3595429","null",,"null","AL","null","Listing","(804) 577-5004 ","(804) 462-0003 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"Livingston Security Storage","3595425","null",,"null","AL","null","Listing","(866) 828-5589 ","(936) 967-8897 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"Longbranch Storage","25538-12","4601 E Rancier",,"Killeen","TX",76543,"Online Listing","(254) 213-5961 ","(254) 699-5464 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Los Gatos Storage Services","25538-31","null",,"null","CA",95030,"Online Listing","(408) 329-7690 ","(408) 395-4069 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Master Mini Warehouse","25394-32","null",,"null","MI","null","Online Listing","(269) 461-7369 ","(269) 591-7155 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Maxx Self Storage Center of Ypsilanti","25394-4","null",,"null","MI","null","Online Listing","(517) 507-4182 ","(517) 268-8009 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Mercer self Storage","25425-0","null",,"null","AL","null","Listing","(478) 238-9299 ","(478) 475-9469 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"National Mini Storage of Gull Road","25394-9","null",,"null","MI","null","Online Listing","(269) 216-4966 ","(269) 382-5666 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Mini Storage of KL Ave","25394-1","null",,"null","MI",49009,"Online Listing","(269) 216-4961 ","(269) 372-6464 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Mini Storage of Kalamazoo","25394-20","null",,"null","MI","null","Online Listing","(269) 545-1823 ","(269) 993-4369 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center - Harbor Springs","25394-25","null",,"null","MI","null","Online Listing","(231) 535-0023 ","(231) 622-4392 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center - Livonia","25394-29","null",,"null","MI","null","Online Listing","(732) 812-0919 ","(732) 646-5865 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Ann Arbor","25394-6","null",,"null","MI","null","Online Listing","(732) 963-2136 ","(732) 784-7990 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Storage Center of Bloomfield","25394-27","null",,"null","MI","null","Online Listing","(248) 461-3499 ","(248) 494-8539 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Chesterfield","25394-18","null",,"null","MI","null","Online Listing","(586) 276-7256 ","(586) 913-1932 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Grand Blanc","25394-17","null",,"null","MI","null","Online Listing","(810) 250-4907 ","(810) 694-1500 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Grand Rapids","25394-7","null",,"null","MI","null","Online Listing","(616) 777-5199 ","(616) 258-2424 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Storage Center of Highland","25394-28","null",,"null","MI","null","Online Listing","(248) 461-3691 ","(248) 714-4418 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Lansing","25394-11","null",,"null","MI","null","Online Listing","(517) 507-3265 ","(517) 887-3110 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Okemos","25394-13","null",,"null","MI","null","Online Listing","(248) 566-6496 ","(248) 855-9676 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Okemos","25394","null",,"null","MI","null","Online Listing","(248) 566-6493 ","(248) 855-9676 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Orion - North","25394-10","null",,"null","MI","null","Online Listing","(248) 566-6724 ","(248) 972-6823 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Storage Center of Orion - South","25394-8","null",,"null","MI","null","Online Listing","(248) 461-3188 ","(248) 972-6840 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"National Storage Center of Redford","25394-12","null",,"null","MI","null","Online Listing","(313) 449-8554 ","(313) 450-1234 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Southfield","25394-15","null",,"null","MI","null","Online Listing","(248) 504-4397 ","(248) 455-6863 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Westland","25394-31","null",,"null","MI","null","Online Listing","(732) 964-9832 ","(732) 474-7908 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"National Storage Center of Ypsilanti","25394-5","null",,"null","MI","null","Online Listing","(732) 993-7413 ","(732) 917-4369 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"PARKWAY STORAGE CENTER","3597730","null",,"null","AL","null","Listing","(801) 658-0877 ","(801) 717-4026 ",$0.00,"n/a",03/28/11,"03/27/2017
"
"Paradise Self Storage ","25573-1","null",,"null","HI","null","Online Listing","(888) 441-1548 ","(808) 873-6767 ",$0.00,"n/a",04/06/11,"04/05/2017
"
"Rawsonville Self Storage","25394-0","null",,"null","MI",48111,"Online Listing","(732) 561-4356 ","(732) 917-0370 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Richburg Self Storage","3595431","null",,"null","AL","null","Listing","(888) 793-9398 ","(803) 789-7760 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"SSecurity Self Storage","25485-5","null",,"null","FL","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Santa Storage","25538-32","null",,"null","CA",92843,"Online Listing","(714) 421-4872 ","(714) 539-7353 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Security Self Storage","25485-0","null",,"null","FL",34986,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Security Self Storage","25485-1","null",,"null","FL",33467,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Security Self Storage","25485-2","null",,"null","FL",32966,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Security Self Storage","25485-3","null",,"Port St. Lucie","FL",34952,"Online Listing","(772) 232-8705 ","(772) 380-4033 ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Security Self Storage","25485-4","null",,"null","FL",33444,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Security Self Storage","25485-6","null",,"null","FL",33411,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/10/11,"05/09/2017
"
"Self Storage City","25338-6","6740 West Flamingo",,"null","NV",89103,"Online Listing","(702) 529-2074 ","(702) 368-7500 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Self Storage Zone - Temple Hills","25613-0","null",,"null","MD",20748,"Online Listing","(240) 565-6008 ","(240) 696-4308 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"Self Storage Zone Clinton","25613-3","null",,"null","MD",20735,"Online Listing","(240) 455-3564 ","(240) 949-4938 ",$0.00,"n/a",05/19/11,"05/18/2017
"
"Self Storage Zone Travis","25613-7","null",,"null","FL",20879,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/19/11,"05/18/2017
"
"Silver Star Storage","25538-10","3043 North Pecos",,"null","NV",89115,"Online Listing","(702) 529-2198 ","(702) 399-4550 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"State Street Self Storage","25394-2","null",,"null","MI","null","Online Listing","(269) 216-4957 ","(269) 372-6464 ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Stewart Storage","3583421","null",,"null","AL","null","Listing","(888) 476-4044 ","(262) 490-9887 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"Stewart Storage – Johnson Creek","3583422","null",,"null","AL","null","Listing","(888) 473-9270 ","(262) 490-9887 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"Stor More - Avondale","25538-17","null",,"Avondale","AZ",85323,"Online Listing","(623) 239-4843 ","(623) 925-9272 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Stor-Mor Self Storage 1","25473-0","null",,"null","AL","null","Listing","(303) 586-1068 ","(303) 948-8800 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 2","3598695","null",,"null","AL","null","Listing","(888) 631-3823 ","(719) 591-8900 ",$0.00,"n/a",03/29/11,"03/28/2017
"
