"Name","Address","City","State","Zip","Phone","Storage Type",
"United Mayflower Container Services","2410 Enterprise Road","Temple","TX",76504,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","3800 Picoma Drive","Texarkana","TX",75501,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","12377 Williams Road","Perrysburg","OH",43551,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","3195 E 36th Street","Tuscon","AZ",85713,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","8515 Rainswood Dr","Hyattsville","MD",20785,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","1710 Crossroad Dr","Odenton","MD",21113,"877-670-6061","Mobile Storage","Storage"
"United Mayflower Container Services","28 Thomas Johnson Dr","Frederick","MD",21702,"877-670-6061","Mobile Storage","Storage"
"Pack-Rat of Phoenix","2225 S. 43rd Avenue","Phoenix","AZ",85009,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Seattle","Mukiteo Speedway","Mukiteo","WA",98275,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Portland","7000 NE Airport Way","Portland","OR ",97218,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Sacrament","815 1 Street","Sacramento","CA",95814,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Stockton/Modesto","6 East Lindsay Street","Stockton","CA",95202,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Northern CA","44380 Osgood Road","Fremont","CA",94539,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Ventura County/LA","405 Science Drive","Moorpark","CA",91321,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Orange","449 W, Freedom Avenue","Orange","CA",92865,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Huntignton Beach","7391 Heil Avenue","Huntington Beach","CA",92647,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of San Diego","9840 Siempre Viva Road","San Diego","CA",92114,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of San Marcos","468 E. Mission Road","San Marcos","CA",92069,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of San Bernardino/Riverside","13170 Marlay Street, Suite A","Fontana","CA",92337,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Las Vegas","4151 Market Center Drive, Suite 403","Las Vegas","NE",89030,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Albuquerque","400 Marquette Avenue NW","Albuquerque","NM",87102,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of San Antonio","6900 Alamo Downs, Suite 160","San Antonio","TX",78238,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Austin","2500 McHale Court, Suite B","Austin","TX",78758,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Houston","9330 Weat Airport, Suite 130","Houston","TX",77031,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Dallas","2933 Eisenhower Road, Suite 130","Carrolton ","TX",75007,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of New Orleans","900 Airline Drive","Kenner","LA",70062,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Denver","4744 Forest Street","Denver","CO",80216,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Kansas City","1512 Atlantic Street","Kansas City","MO",63134,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of St. Louis","8881 Seeger Industrial Drive","St. Louis","MO",63134,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Minneapolis","701 Lady Bird Lane, Unit 2","Burnsville","MN",55337,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Milwaukee","814 West Wisconsin Avenue","Milwaukee","WI",53233,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Chicago","90 West Lake Drive","Glendale Heights","IL",60139,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Champaign/Bloomington","3201 Cira Drive","Bloomington","IL",61704,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Indianapolis","4316 West Minnesota Street","Indianapolis","IN",46241,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Cleveland","830 Canterbury Road","Westlake","OH",44145,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Columbus","90 West Broad Street","Columbus","OH",43215,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Cincinnati","3600 Red bank Road","Cincinnati","OH",45227,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Lexington","1850 Bryant Road","Lexington","KY",40509,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Pittsburg","425 Sixth Avenue","Pittsburg","PA",15219,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Allentown","3311 Airport Road","Allentown","PA",18109,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Philadelphia","500 State Road, Unit A","Bensalem","PA",19020,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Hunt Valley","300 Clubhouse Road","Hunt Valley","MD",21031,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Landover","2270 Beaver Road","Landover","MD",20785,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Newark","211 Executive Drive, Suite 16","Newark","DE",19808,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Northern Virginia","3900 Stonecroft Boulevard, Suite R","Chantilly","VA",20151,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Norfolk","6700 Azalea Garden Road","Norfolk","VA",23518,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Albany/Hudson Valley","737 Albany-Shaker Road","Albany","NY",12211,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Greater Boston Area","10 Panas Drive","Foxborough","MA",20235,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Hartford","460 Woodland Avenue","Blomingfield","CT",6002,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Stratford","500 Long Beach Boulevard","Stratford","CT",6615,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Long Island","220 Plandome Road","Manhasset","NY",11030,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Swedesboro","301 Berkeley Drive","Swedesboro","NJ",8085,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Lakewood","1000 Towbin Avenue","Lakewood","NJ",8701,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Central NJ","17 South Middlesex Avenue, Suite B","Monroe","NJ",8831,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Northern NJ","211 Evans Way, Suite 2","Branchburg","NJ",8876,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Greensboro","439 North Chimney Rock Road","Greensboro","NC",27410,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Raleigh","2315 Atlantic Avenue","Raleigh","NC",27604,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Charlotte","9405-C D Ducks Lane","Charlotte","NC",28273,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Wilmington","5752 NC Highway 117","Wallace","NC",28466,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Nashville","660 Massman Drive, Suite 100","Nashville","TN",37210,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Chattanooga","2224 Polymer Drive, Suite C","Chattanooga","TN",37421,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Atlanta","2000 Southpoint Drive, Suite 200","Forest Park","GA",30297,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Jacksonville","5301-1 West Fifth Street","Jacksonville","FL",32244,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Orlando","501 Gills Drive, Suite 300","Orlando","FL",32824,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Tampa","2400 Geleman Place","Tampa","FL",33619,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Pompano","2012 NW 25th Avenue, Bldg H","Pompano","FL",33069,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Northwest Miami","11401 NW 134th Street, Suite 300","Medley","FL",33178,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Naples/Ft. Myers","3861 Domestic Avenue","Naples","FL",34104,"1-800-722-5728","Mobile Storage","Storage"
"Pack-Rat of Salt Lake","5235 West Harold Gatty Drive","Salt Lake City","UT",84116,"1-800-722-5728","Mobile Storage","Storage"
"Pac-Van of Phoenix","3215 S. 7th Street","Phoenix","AZ ",85040,"602-268-1800",,"Moving"
"Pac-Van of Bakersfield","2801 E. Brundage Lane","Bakersfield","CA",93307,"800-587-1784",,"Moving"
"Pac-Van of LA-Fontana","14315 Whittram Avenue","Fontana","CA",92335,"909-428-7428",,"Moving"
"Pac-Van of Denver","10250 Brighton Road","Henderson","CO",80640,"303-227-1300",,"Moving"
"Pac-Van of Jacksonville","11637 Camden Road","Jacksonville","FL",32218,"904-751-3550",,"Moving"
"Pac-Van of Orlando","1850 Saturn Boulevard","Orlando","FL",32837,"407-251-2800",,"Moving"
"Pac-Van of Atlanta","2670 Business Drive","Cumming","GA",30028,"678-534-7188",,"Moving"
"Pac-Van of Chicago","711 S. Route 83","Elmhurst","IL",60126,"630-833-6200",,"Moving"
"Pac-Van of Elkhart","21075 Protecta Drive","Elkhart","IN",46516,"574-293-5550",,"Moving"
"Pac-Van of Indianapoli","2995 S. Harding Street","Indianapoli","IN",46225,"317-791-2020",,"Moving"
"Pac-Van of Louisville","600 N. 35th Street","Louisville","KY",40212,"502-776-9697",,"Moving"
"Pac-Van of Kansas City","7002 E. 40 Highway","Kansas City","MO",64129,"816-924-0400",,"Moving"
"Pac-Van of St. Louis","79 North Central Drive","O'Fallon ","MO",63366,"314-382-1800",,"Moving"
"Pac-Van of Charlotte","5545 Racine Avenue","Charlotte","NC",28269,"704-971-7909",,"Moving"
"Pac-Van of Trenton","207 Hedding Road","Bordertown","NJ",8505,"609-324-8000",,"Moving"
"Pac-Van of Las Vegas","4680 Industry Center Drive","Las Vegas","NV",89115,"702-558-8435",,"Moving"
"Pac-Van of Cincinnati","1451 St. Rte 28 - Lot 2B","Loveland","OH",45140,"513-722-8220",,"Moving"
"Pac-Van of Cleveland","997 Wenso Road","Bedford","OH",44146,"440-735-1300",,"Moving"
"Pac-Van of Columbus","2150 Cloverleaf Street East","Columbus","OH",43232,"614-755-9350",,"Moving"
"Pac-Van of Toledo","3610 N. Centennial","Sylvania","OH",43560,"419-842-0880",,"Moving"
"Pac-Van of Pittsburgh","2004 McKees Rocks Road","McKees Rocks","PA",15136,"412-331-2500",,"Moving"
"Pac-Van of Memphis","670 Winchester Toad","Memphis","TN",38116,"901-348-9800",,"Moving"
"Pac-Van of Nashville","1062 Firestone Parkway","La Vergne","TN",37086,"615-501-8891",,"Moving"
"Pac-Van of Dallas","7700 South Freeway","Forth Worth","TX",76134,"817-293-2193",,"Moving"
"Pac-Van of Salt Lake City","825 N 300 W, Suite C148","Salt Lake City","UT",84103,"801-359-4220",,"Moving"
"Pac-Van of Charleston","Par Industrial Park - Plant Road","Nitro","WV",25143,"304-755-8800",,"Moving"
